respondent_id,date,question,selected_option,region,age_group,gender,education,employment,week,month
R0020,2024-03-10,Which option do you prefer for the upcoming election?,Option A,North,26-35,Female,High School,Employed,10,March
R0021,2024-02-01,Which option do you prefer for the upcoming election?,Option D,East,26-35,Male,High School,Employed,5,February
R0022,2024-01-03,Which option do you prefer for the upcoming election?,Option C,North,26-35,Male,Bachelor'S,Employed,1,January
R0023,2024-03-27,Which option do you prefer for the upcoming election?,Option B,North,18-25,Non-Binary,Bachelor'S,Unemployed,13,March
R0024,2024-03-10,Which option do you prefer for the upcoming election?,Option B,Central,26-35,Female,Bachelor'S,Employed,10,March
R0025,2024-03-10,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,High School,Self-Employed,10,March
R0026,2024-01-03,Which option do you prefer for the upcoming election?,Option C,East,36-50,Female,High School,Employed,1,January
R0027,2024-03-11,Which option do you prefer for the upcoming election?,Option B,West,26-35,Male,Master'S,Self-Employed,11,March
R0028,2024-02-26,Which option do you prefer for the upcoming election?,Option C,West,51+,Male,Bachelor'S,Self-Employed,9,February
R0029,2024-02-29,Which option do you prefer for the upcoming election?,Option A,North,18-25,Female,Bachelor'S,Employed,9,February
R0030,2024-01-09,Which option do you prefer for the upcoming election?,Option C,North,18-25,Male,Master'S,Unemployed,2,January
R0031,2024-01-24,Which option do you prefer for the upcoming election?,Option C,North,26-35,Female,Master'S,Self-Employed,4,January
R0032,2024-03-29,Which option do you prefer for the upcoming election?,Option A,West,18-25,Male,Master'S,Student,13,March
R0033,2024-03-01,Which option do you prefer for the upcoming election?,Option A,East,51+,Male,Bachelor'S,Employed,9,March
R0034,2024-01-08,Which option do you prefer for the upcoming election?,Option B,North,18-25,Male,Bachelor'S,Employed,2,January
R0035,2024-01-30,Which option do you prefer for the upcoming election?,Option A,East,36-50,Female,High School,Employed,5,January
R0036,2024-03-04,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Female,Bachelor'S,Employed,10,March
R0037,2024-01-17,Which option do you prefer for the upcoming election?,Option C,North,18-25,Female,Bachelor'S,Employed,3,January
R0038,2024-01-24,Which option do you prefer for the upcoming election?,Option A,West,51+,Female,Master'S,Employed,4,January
R0039,2024-03-25,Which option do you prefer for the upcoming election?,Option A,Central,26-35,Non-Binary,Phd,Self-Employed,13,March
R0040,2024-02-15,Which option do you prefer for the upcoming election?,Option C,North,26-35,Male,Bachelor'S,Unemployed,7,February
R0041,2024-01-17,Which option do you prefer for the upcoming election?,Option C,South,36-50,Non-Binary,High School,Employed,3,January
R0042,2024-02-19,Which option do you prefer for the upcoming election?,Option B,North,18-25,Female,Bachelor'S,Employed,8,February
R0043,2024-01-08,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,High School,Student,2,January
R0044,2024-02-20,Which option do you prefer for the upcoming election?,Option C,West,51+,Male,Bachelor'S,Employed,8,February
R0045,2024-02-11,Which option do you prefer for the upcoming election?,Option A,North,18-25,Non-Binary,Master'S,Self-Employed,6,February
R0046,2024-03-08,Which option do you prefer for the upcoming election?,Option C,East,18-25,Female,Master'S,Employed,10,March
R0047,2024-01-30,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Male,Bachelor'S,Employed,5,January
R0048,2024-03-02,Which option do you prefer for the upcoming election?,Option A,East,36-50,Male,Bachelor'S,Employed,9,March
R0049,2024-02-17,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,Master'S,Employed,7,February
R0050,2024-01-22,Which option do you prefer for the upcoming election?,Option B,North,36-50,Male,Phd,Student,4,January
R0051,2024-03-18,Which option do you prefer for the upcoming election?,Option A,Central,26-35,Male,Bachelor'S,Self-Employed,12,March
R0052,2024-03-30,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,Master'S,Student,13,March
R0053,2024-01-10,Which option do you prefer for the upcoming election?,Option B,South,26-35,Male,High School,Employed,2,January
R0054,2024-03-09,Which option do you prefer for the upcoming election?,Option B,Central,51+,Male,High School,Unemployed,10,March
R0055,2024-03-24,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Male,Bachelor'S,Employed,12,March
R0056,2024-03-07,Which option do you prefer for the upcoming election?,Option D,West,26-35,Female,Bachelor'S,Employed,10,March
R0057,2024-01-02,Which option do you prefer for the upcoming election?,Option A,North,51+,Female,High School,Employed,1,January
R0058,2024-03-30,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Female,High School,Employed,13,March
R0059,2024-02-05,Which option do you prefer for the upcoming election?,Option D,South,26-35,Female,Bachelor'S,Employed,6,February
R0060,2024-02-18,Which option do you prefer for the upcoming election?,Option C,North,36-50,Male,High School,Self-Employed,7,February
R0061,2024-02-06,Which option do you prefer for the upcoming election?,Option D,East,26-35,Male,Master'S,Employed,6,February
R0062,2024-03-02,Which option do you prefer for the upcoming election?,Option D,West,26-35,Female,Master'S,Employed,9,March
R0063,2024-01-19,Which option do you prefer for the upcoming election?,Option A,West,51+,Male,Master'S,Employed,3,January
R0064,2024-01-16,Which option do you prefer for the upcoming election?,Option B,West,26-35,Female,Bachelor'S,Employed,3,January
R0065,2024-01-16,Which option do you prefer for the upcoming election?,Option D,Central,18-25,Female,Bachelor'S,Employed,3,January
R0066,2024-02-04,Which option do you prefer for the upcoming election?,Option A,North,18-25,Female,Phd,Unemployed,5,February
R0067,2024-01-07,Which option do you prefer for the upcoming election?,Option B,Central,26-35,Male,High School,Self-Employed,1,January
R0068,2024-02-07,Which option do you prefer for the upcoming election?,Option B,Central,18-25,Male,Master'S,Employed,6,February
R0069,2024-02-14,Which option do you prefer for the upcoming election?,Option D,East,36-50,Female,Master'S,Employed,7,February
R0070,2024-03-14,Which option do you prefer for the upcoming election?,Option C,West,26-35,Female,Bachelor'S,Employed,11,March
R0071,2024-01-20,Which option do you prefer for the upcoming election?,Option B,South,26-35,Male,Bachelor'S,Employed,3,January
R0072,2024-03-03,Which option do you prefer for the upcoming election?,Option A,West,36-50,Female,Master'S,Student,9,March
R0073,2024-02-01,Which option do you prefer for the upcoming election?,Option A,West,26-35,Female,High School,Unemployed,5,February
R0074,2024-01-19,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Female,Bachelor'S,Unemployed,3,January
R0075,2024-02-23,Which option do you prefer for the upcoming election?,Option D,West,18-25,Male,High School,Employed,8,February
R0076,2024-03-16,Which option do you prefer for the upcoming election?,Option D,East,51+,Male,Bachelor'S,Unemployed,11,March
R0077,2024-01-28,Which option do you prefer for the upcoming election?,Option A,West,26-35,Male,Bachelor'S,Employed,4,January
R0078,2024-03-24,Which option do you prefer for the upcoming election?,Option C,West,26-35,Male,Bachelor'S,Employed,12,March
R0079,2024-03-09,Which option do you prefer for the upcoming election?,Option D,Central,36-50,Male,Master'S,Self-Employed,10,March
R0080,2024-02-02,Which option do you prefer for the upcoming election?,Option A,North,26-35,Female,Master'S,Employed,5,February
R0081,2024-02-28,Which option do you prefer for the upcoming election?,Option B,North,26-35,Non-Binary,Bachelor'S,Student,9,February
R0082,2024-02-24,Which option do you prefer for the upcoming election?,Option A,East,36-50,Male,High School,Employed,8,February
R0083,2024-02-06,Which option do you prefer for the upcoming election?,Option C,West,36-50,Non-Binary,Phd,Student,6,February
R0084,2024-03-17,Which option do you prefer for the upcoming election?,Option D,South,51+,Male,Bachelor'S,Employed,11,March
R0085,2024-01-26,Which option do you prefer for the upcoming election?,Option C,West,18-25,Female,Bachelor'S,Employed,4,January
R0086,2024-01-05,Which option do you prefer for the upcoming election?,Option B,South,26-35,Female,Bachelor'S,Self-Employed,1,January
R0087,2024-03-06,Which option do you prefer for the upcoming election?,Option C,East,26-35,Male,High School,Self-Employed,10,March
R0088,2024-01-30,Which option do you prefer for the upcoming election?,Option C,East,18-25,Male,High School,Employed,5,January
R0089,2024-01-30,Which option do you prefer for the upcoming election?,Option D,East,18-25,Female,Bachelor'S,Employed,5,January
R0090,2024-03-24,Which option do you prefer for the upcoming election?,Option B,South,51+,Female,High School,Unemployed,12,March
R0091,2024-01-23,Which option do you prefer for the upcoming election?,Option A,Central,51+,Female,Bachelor'S,Student,4,January
R0092,2024-03-07,Which option do you prefer for the upcoming election?,Option D,East,18-25,Female,High School,Employed,10,March
R0093,2024-02-11,Which option do you prefer for the upcoming election?,Option A,East,36-50,Male,High School,Employed,6,February
R0094,2024-02-18,Which option do you prefer for the upcoming election?,Option D,Central,18-25,Female,Bachelor'S,Employed,7,February
R0095,2024-03-03,Which option do you prefer for the upcoming election?,Option A,South,36-50,Male,Master'S,Student,9,March
R0096,2024-02-16,Which option do you prefer for the upcoming election?,Option D,Central,18-25,Female,High School,Student,7,February
R0097,2024-01-07,Which option do you prefer for the upcoming election?,Option A,South,36-50,Female,Master'S,Employed,1,January
R0098,2024-01-15,Which option do you prefer for the upcoming election?,Option B,East,51+,Female,Bachelor'S,Employed,3,January
R0099,2024-02-13,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,Bachelor'S,Self-Employed,7,February
R0100,2024-03-26,Which option do you prefer for the upcoming election?,Option B,North,51+,Female,Bachelor'S,Self-Employed,13,March
R0101,2024-02-21,Which option do you prefer for the upcoming election?,Option B,South,36-50,Female,Bachelor'S,Employed,8,February
R0102,2024-02-22,Which option do you prefer for the upcoming election?,Option D,South,36-50,Male,Bachelor'S,Employed,8,February
R0103,2024-01-24,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Male,High School,Employed,4,January
R0104,2024-03-06,Which option do you prefer for the upcoming election?,Option A,North,18-25,Female,Bachelor'S,Unemployed,10,March
R0105,2024-02-20,Which option do you prefer for the upcoming election?,Option A,West,51+,Female,Master'S,Employed,8,February
R0106,2024-01-26,Which option do you prefer for the upcoming election?,Option A,North,36-50,Female,Bachelor'S,Self-Employed,4,January
R0107,2024-03-04,Which option do you prefer for the upcoming election?,Option C,West,26-35,Female,High School,Employed,10,March
R0108,2024-01-10,Which option do you prefer for the upcoming election?,Option B,Central,26-35,Female,Bachelor'S,Student,2,January
R0109,2024-03-13,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Non-Binary,Bachelor'S,Self-Employed,11,March
R0110,2024-03-09,Which option do you prefer for the upcoming election?,Option A,North,18-25,Male,Bachelor'S,Self-Employed,10,March
R0111,2024-02-04,Which option do you prefer for the upcoming election?,Option A,West,51+,Male,Master'S,Unemployed,5,February
R0112,2024-01-14,Which option do you prefer for the upcoming election?,Option C,North,36-50,Female,Master'S,Employed,2,January
R0113,2024-01-04,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,Master'S,Student,1,January
R0114,2024-02-20,Which option do you prefer for the upcoming election?,Option A,North,51+,Male,Master'S,Employed,8,February
R0115,2024-03-06,Which option do you prefer for the upcoming election?,Option A,Central,26-35,Female,Bachelor'S,Employed,10,March
R0116,2024-03-12,Which option do you prefer for the upcoming election?,Option B,Central,51+,Female,High School,Unemployed,11,March
R0117,2024-02-05,Which option do you prefer for the upcoming election?,Option D,South,18-25,Female,Bachelor'S,Employed,6,February
R0118,2024-03-26,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Male,High School,Student,13,March
R0119,2024-03-28,Which option do you prefer for the upcoming election?,Option A,South,36-50,Female,Bachelor'S,Self-Employed,13,March
R0120,2024-01-02,Which option do you prefer for the upcoming election?,Option C,West,26-35,Female,High School,Employed,1,January
R0121,2024-01-11,Which option do you prefer for the upcoming election?,Option B,East,36-50,Female,Bachelor'S,Employed,2,January
R0122,2024-03-30,Which option do you prefer for the upcoming election?,Option B,South,26-35,Male,Bachelor'S,Employed,13,March
R0123,2024-03-08,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Male,Bachelor'S,Student,10,March
R0124,2024-02-20,Which option do you prefer for the upcoming election?,Option B,Central,51+,Female,High School,Student,8,February
R0125,2024-03-30,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Female,Master'S,Employed,13,March
R0126,2024-01-21,Which option do you prefer for the upcoming election?,Option C,West,18-25,Female,Master'S,Employed,3,January
R0127,2024-01-25,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,Master'S,Student,4,January
R0128,2024-02-12,Which option do you prefer for the upcoming election?,Option B,South,51+,Male,Bachelor'S,Student,7,February
R0129,2024-03-28,Which option do you prefer for the upcoming election?,Option B,East,26-35,Male,High School,Employed,13,March
R0130,2024-03-11,Which option do you prefer for the upcoming election?,Option A,North,26-35,Female,Bachelor'S,Employed,11,March
R0131,2024-02-18,Which option do you prefer for the upcoming election?,Option D,North,51+,Male,Bachelor'S,Employed,7,February
R0132,2024-01-30,Which option do you prefer for the upcoming election?,Option A,North,26-35,Male,Bachelor'S,Self-Employed,5,January
R0133,2024-02-16,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Male,Master'S,Student,7,February
R0134,2024-01-01,Which option do you prefer for the upcoming election?,Option A,South,26-35,Male,Bachelor'S,Student,1,January
R0135,2024-03-27,Which option do you prefer for the upcoming election?,Option B,Central,18-25,Female,Bachelor'S,Self-Employed,13,March
R0136,2024-03-27,Which option do you prefer for the upcoming election?,Option A,West,51+,Female,Bachelor'S,Student,13,March
R0137,2024-01-08,Which option do you prefer for the upcoming election?,Option D,East,26-35,Female,Bachelor'S,Student,2,January
R0138,2024-02-06,Which option do you prefer for the upcoming election?,Option D,South,36-50,Non-Binary,Bachelor'S,Self-Employed,6,February
R0139,2024-03-25,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Male,High School,Student,13,March
R0140,2024-03-09,Which option do you prefer for the upcoming election?,Option D,East,18-25,Female,Bachelor'S,Student,10,March
R0141,2024-02-06,Which option do you prefer for the upcoming election?,Option D,West,26-35,Female,Bachelor'S,Employed,6,February
R0142,2024-03-14,Which option do you prefer for the upcoming election?,Option A,North,26-35,Male,Phd,Self-Employed,11,March
R0143,2024-02-09,Which option do you prefer for the upcoming election?,Option A,East,51+,Female,Bachelor'S,Employed,6,February
R0144,2024-02-27,Which option do you prefer for the upcoming election?,Option D,South,36-50,Male,High School,Self-Employed,9,February
R0145,2024-02-10,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Male,High School,Unemployed,6,February
R0146,2024-03-25,Which option do you prefer for the upcoming election?,Option A,South,36-50,Female,Master'S,Employed,13,March
R0147,2024-03-11,Which option do you prefer for the upcoming election?,Option C,East,51+,Female,Bachelor'S,Student,11,March
R0148,2024-02-23,Which option do you prefer for the upcoming election?,Option A,South,51+,Male,Bachelor'S,Employed,8,February
R0149,2024-01-11,Which option do you prefer for the upcoming election?,Option C,East,18-25,Male,Master'S,Employed,2,January
R0150,2024-01-22,Which option do you prefer for the upcoming election?,Option C,West,36-50,Male,Bachelor'S,Employed,4,January
R0151,2024-03-21,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Male,Bachelor'S,Employed,12,March
R0152,2024-01-17,Which option do you prefer for the upcoming election?,Option A,East,36-50,Male,Master'S,Employed,3,January
R0153,2024-02-13,Which option do you prefer for the upcoming election?,Option C,North,26-35,Female,Bachelor'S,Employed,7,February
R0154,2024-03-01,Which option do you prefer for the upcoming election?,Option D,East,26-35,Female,Bachelor'S,Employed,9,March
R0155,2024-01-08,Which option do you prefer for the upcoming election?,Option C,North,51+,Male,High School,Employed,2,January
R0156,2024-01-12,Which option do you prefer for the upcoming election?,Option D,Central,36-50,Female,Bachelor'S,Unemployed,2,January
R0157,2024-01-23,Which option do you prefer for the upcoming election?,Option D,East,51+,Female,High School,Student,4,January
R0158,2024-02-17,Which option do you prefer for the upcoming election?,Option A,South,36-50,Female,High School,Student,7,February
R0159,2024-02-28,Which option do you prefer for the upcoming election?,Option B,South,26-35,Female,Master'S,Employed,9,February
R0160,2024-01-03,Which option do you prefer for the upcoming election?,Option B,South,36-50,Female,Bachelor'S,Student,1,January
R0161,2024-01-04,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Male,Bachelor'S,Student,1,January
R0162,2024-03-06,Which option do you prefer for the upcoming election?,Option D,Central,36-50,Female,Bachelor'S,Employed,10,March
R0163,2024-02-08,Which option do you prefer for the upcoming election?,Option D,East,51+,Male,Master'S,Employed,6,February
R0164,2024-01-10,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,High School,Employed,2,January
R0165,2024-01-30,Which option do you prefer for the upcoming election?,Option B,North,26-35,Female,Master'S,Employed,5,January
R0166,2024-03-13,Which option do you prefer for the upcoming election?,Option D,South,26-35,Male,High School,Employed,11,March
R0167,2024-03-10,Which option do you prefer for the upcoming election?,Option A,North,26-35,Male,Phd,Self-Employed,10,March
R0168,2024-03-03,Which option do you prefer for the upcoming election?,Option B,East,51+,Non-Binary,Master'S,Employed,9,March
R0169,2024-01-03,Which option do you prefer for the upcoming election?,Option A,Central,51+,Male,High School,Employed,1,January
R0170,2024-03-01,Which option do you prefer for the upcoming election?,Option D,Central,18-25,Non-Binary,Master'S,Unemployed,9,March
R0171,2024-01-13,Which option do you prefer for the upcoming election?,Option C,East,26-35,Female,Bachelor'S,Employed,2,January
R0172,2024-03-07,Which option do you prefer for the upcoming election?,Option D,Central,26-35,Female,Bachelor'S,Employed,10,March
R0173,2024-02-09,Which option do you prefer for the upcoming election?,Option C,East,18-25,Female,Phd,Self-Employed,6,February
R0174,2024-01-05,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,Bachelor'S,Employed,1,January
R0175,2024-02-09,Which option do you prefer for the upcoming election?,Option D,South,26-35,Non-Binary,High School,Self-Employed,6,February
R0176,2024-03-17,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Female,Master'S,Employed,11,March
R0177,2024-02-17,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Female,Master'S,Employed,7,February
R0178,2024-02-29,Which option do you prefer for the upcoming election?,Option C,North,26-35,Male,Phd,Employed,9,February
R0179,2024-02-22,Which option do you prefer for the upcoming election?,Option A,Central,51+,Female,High School,Self-Employed,8,February
R0180,2024-02-15,Which option do you prefer for the upcoming election?,Option A,South,36-50,Female,Bachelor'S,Employed,7,February
R0181,2024-02-04,Which option do you prefer for the upcoming election?,Option B,East,51+,Female,Bachelor'S,Student,5,February
R0182,2024-02-06,Which option do you prefer for the upcoming election?,Option C,East,36-50,Female,Phd,Employed,6,February
R0183,2024-01-12,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Male,Master'S,Unemployed,2,January
R0184,2024-03-04,Which option do you prefer for the upcoming election?,Option C,North,36-50,Male,Bachelor'S,Employed,10,March
R0185,2024-02-02,Which option do you prefer for the upcoming election?,Option A,Central,26-35,Female,Bachelor'S,Employed,5,February
R0186,2024-01-13,Which option do you prefer for the upcoming election?,Option D,East,26-35,Male,High School,Employed,2,January
R0187,2024-03-18,Which option do you prefer for the upcoming election?,Option A,North,18-25,Female,Bachelor'S,Employed,12,March
R0188,2024-01-21,Which option do you prefer for the upcoming election?,Option B,West,36-50,Male,Phd,Employed,3,January
R0189,2024-02-07,Which option do you prefer for the upcoming election?,Option B,Central,36-50,Male,Bachelor'S,Unemployed,6,February
R0190,2024-03-20,Which option do you prefer for the upcoming election?,Option C,South,18-25,Male,Bachelor'S,Employed,12,March
R0191,2024-02-15,Which option do you prefer for the upcoming election?,Option C,East,51+,Male,Master'S,Self-Employed,7,February
R0192,2024-01-03,Which option do you prefer for the upcoming election?,Option D,South,36-50,Female,High School,Employed,1,January
R0193,2024-01-09,Which option do you prefer for the upcoming election?,Option C,West,36-50,Female,High School,Employed,2,January
R0194,2024-03-04,Which option do you prefer for the upcoming election?,Option B,North,18-25,Female,Bachelor'S,Student,10,March
R0195,2024-02-07,Which option do you prefer for the upcoming election?,Option D,Central,18-25,Male,Bachelor'S,Employed,6,February
R0196,2024-03-28,Which option do you prefer for the upcoming election?,Option B,East,36-50,Female,Master'S,Employed,13,March
R0197,2024-01-20,Which option do you prefer for the upcoming election?,Option C,North,18-25,Non-Binary,High School,Employed,3,January
R0198,2024-03-17,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,Bachelor'S,Employed,11,March
R0199,2024-01-15,Which option do you prefer for the upcoming election?,Option A,North,51+,Male,Bachelor'S,Unemployed,3,January
R0200,2024-01-09,Which option do you prefer for the upcoming election?,Option D,South,18-25,Female,Phd,Employed,2,January
R0201,2024-03-02,Which option do you prefer for the upcoming election?,Option C,North,18-25,Female,Master'S,Self-Employed,9,March
R0202,2024-02-27,Which option do you prefer for the upcoming election?,Option C,West,26-35,Female,High School,Self-Employed,9,February
R0203,2024-01-12,Which option do you prefer for the upcoming election?,Option C,South,26-35,Male,High School,Employed,2,January
R0204,2024-01-08,Which option do you prefer for the upcoming election?,Option B,West,18-25,Female,High School,Unemployed,2,January
R0205,2024-01-22,Which option do you prefer for the upcoming election?,Option C,Central,36-50,Female,Bachelor'S,Student,4,January
R0206,2024-02-23,Which option do you prefer for the upcoming election?,Option B,Central,51+,Non-Binary,Bachelor'S,Employed,8,February
R0207,2024-02-06,Which option do you prefer for the upcoming election?,Option C,North,51+,Male,Phd,Employed,6,February
R0208,2024-02-05,Which option do you prefer for the upcoming election?,Option B,West,36-50,Female,Bachelor'S,Employed,6,February
R0209,2024-02-11,Which option do you prefer for the upcoming election?,Option B,South,36-50,Female,Master'S,Unemployed,6,February
R0210,2024-01-15,Which option do you prefer for the upcoming election?,Option C,East,36-50,Female,High School,Student,3,January
R0211,2024-03-18,Which option do you prefer for the upcoming election?,Option A,North,18-25,Female,Master'S,Employed,12,March
R0212,2024-01-14,Which option do you prefer for the upcoming election?,Option C,South,18-25,Female,Bachelor'S,Employed,2,January
R0213,2024-02-04,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,Bachelor'S,Employed,5,February
R0214,2024-01-31,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Female,Bachelor'S,Employed,5,January
R0215,2024-01-01,Which option do you prefer for the upcoming election?,Option C,East,51+,Male,Bachelor'S,Employed,1,January
R0216,2024-02-06,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Female,Master'S,Employed,6,February
R0217,2024-01-06,Which option do you prefer for the upcoming election?,Option D,Central,26-35,Female,Master'S,Employed,1,January
R0218,2024-01-26,Which option do you prefer for the upcoming election?,Option A,West,26-35,Male,Phd,Employed,4,January
R0219,2024-02-20,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Male,High School,Employed,8,February
R0220,2024-02-19,Which option do you prefer for the upcoming election?,Option D,West,18-25,Non-Binary,Phd,Employed,8,February
R0221,2024-03-24,Which option do you prefer for the upcoming election?,Option B,Central,51+,Male,Bachelor'S,Employed,12,March
R0222,2024-01-08,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Female,Master'S,Employed,2,January
R0223,2024-03-30,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Female,High School,Student,13,March
R0224,2024-03-16,Which option do you prefer for the upcoming election?,Option B,East,36-50,Female,Bachelor'S,Self-Employed,11,March
R0225,2024-02-22,Which option do you prefer for the upcoming election?,Option C,East,51+,Female,Bachelor'S,Employed,8,February
R0226,2024-02-02,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Male,High School,Student,5,February
R0227,2024-01-04,Which option do you prefer for the upcoming election?,Option A,North,51+,Female,High School,Employed,1,January
R0228,2024-03-28,Which option do you prefer for the upcoming election?,Option C,East,36-50,Female,Master'S,Employed,13,March
R0229,2024-03-29,Which option do you prefer for the upcoming election?,Option B,North,26-35,Female,Bachelor'S,Student,13,March
R0230,2024-03-18,Which option do you prefer for the upcoming election?,Option C,North,18-25,Male,High School,Employed,12,March
R0231,2024-01-28,Which option do you prefer for the upcoming election?,Option C,South,36-50,Female,Bachelor'S,Unemployed,4,January
R0232,2024-01-15,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Male,High School,Employed,3,January
R0233,2024-01-23,Which option do you prefer for the upcoming election?,Option A,East,36-50,Female,Master'S,Unemployed,4,January
R0234,2024-01-15,Which option do you prefer for the upcoming election?,Option D,East,18-25,Female,Master'S,Employed,3,January
R0235,2024-02-21,Which option do you prefer for the upcoming election?,Option A,West,51+,Male,High School,Employed,8,February
R0236,2024-01-02,Which option do you prefer for the upcoming election?,Option C,East,51+,Female,Bachelor'S,Employed,1,January
R0237,2024-02-08,Which option do you prefer for the upcoming election?,Option C,North,51+,Female,Bachelor'S,Employed,6,February
R0238,2024-03-24,Which option do you prefer for the upcoming election?,Option D,Central,18-25,Male,Master'S,Employed,12,March
R0239,2024-01-13,Which option do you prefer for the upcoming election?,Option A,West,18-25,Female,Bachelor'S,Employed,2,January
R0240,2024-02-11,Which option do you prefer for the upcoming election?,Option B,Central,51+,Male,High School,Student,6,February
R0241,2024-03-14,Which option do you prefer for the upcoming election?,Option B,North,18-25,Female,Bachelor'S,Self-Employed,11,March
R0242,2024-02-02,Which option do you prefer for the upcoming election?,Option A,North,18-25,Female,Bachelor'S,Student,5,February
R0243,2024-01-10,Which option do you prefer for the upcoming election?,Option B,Central,18-25,Male,Bachelor'S,Student,2,January
R0244,2024-03-25,Which option do you prefer for the upcoming election?,Option A,North,26-35,Female,Bachelor'S,Unemployed,13,March
R0245,2024-02-29,Which option do you prefer for the upcoming election?,Option D,South,26-35,Male,Master'S,Student,9,February
R0246,2024-02-05,Which option do you prefer for the upcoming election?,Option A,East,36-50,Male,Master'S,Self-Employed,6,February
R0247,2024-02-29,Which option do you prefer for the upcoming election?,Option B,East,26-35,Male,Bachelor'S,Student,9,February
R0248,2024-03-07,Which option do you prefer for the upcoming election?,Option B,South,36-50,Male,Bachelor'S,Employed,10,March
R0249,2024-03-21,Which option do you prefer for the upcoming election?,Option C,West,26-35,Male,Bachelor'S,Unemployed,12,March
R0250,2024-03-17,Which option do you prefer for the upcoming election?,Option D,East,36-50,Male,High School,Student,11,March
